Date,Lo20,Qnt2,Qnt3,Qnt4,Hi20,Lo10,Dec2,Dec3,Dec4,Dec5,Dec6,Dec7,Dec8,Dec9,Hi10,Spread
1965-07-01,0.0335,0.011899999999999999,0.0204,0.0192,0.006999999999999999,0.039,0.0297,0.0336,0.005600000000000001,0.0194,0.022099999999999998,0.0079,0.0252,0.0209,-0.0045000000000000005,-0.0435
1965-08-01,0.045,0.0316,0.020099999999999996,0.0365,0.0409,0.034300000000000004,0.052300000000000006,0.075,0.018500000000000003,0.0138,0.0311,0.034,0.0378,0.0553,0.0286,-0.005700000000000004
1965-09-01,0.0265,0.028900000000000002,0.0475,0.044500000000000005,0.0176,0.037599999999999995,0.019,0.030600000000000002,0.028399999999999998,0.044500000000000005,0.0526,0.0338,0.0501,0.0397,-0.0017000000000000001,-0.039299999999999995
1965-10-01,0.0583,0.0233,0.018500000000000003,0.057999999999999996,0.0264,0.073,0.0481,0.051,0.014499999999999999,0.019799999999999998,0.016200000000000003,0.0601,0.056900000000000006,0.0441,0.0103,-0.06269999999999999
1965-11-01,0.0362,-0.01,0.002,-0.0103,0.0361,0.0349,0.0371,0.0001,-0.013300000000000001,0.0025,0.0011,0.0097,-0.0207,0.0313,0.0406,0.005699999999999997
1965-12-01,0.0285,0.0014000000000000002,0.0223,0.013500000000000002,0.0147,0.0298,0.0276,0.038,-0.0108,0.0167,0.0318,0.0219,0.0091,0.005600000000000001,0.0231,-0.006700000000000001
1966-01-01,0.0449,0.0068000000000000005,0.006500000000000001,0.017,0.0028000000000000004,0.059800000000000006,0.0344,0.0322,-0.0021,0.0123,-0.0034000000000000002,0.0291,0.0104,0.0371,-0.0286,-0.0884
1966-02-01,0.0049,-0.005,-0.022099999999999998,0.0015,0.0012,-0.0032,0.0108,-0.0144,-0.0016,-0.0274,-0.013000000000000001,0.0179,-0.0075,0.0007000000000000001,0.0017000000000000001,0.0049
1966-03-01,-0.0154,-0.0183,-0.03,-0.0263,-0.017,-0.0013,-0.0254,0.006999999999999999,-0.0273,-0.0346,-0.0223,-0.0066,-0.0374,-0.0128,-0.0212,-0.0199
1966-04-01,0.043,0.0342,0.021099999999999997,0.0089,0.0196,0.055,0.0342,0.0416,0.0315,0.0212,0.021,0.036699999999999997,-0.0074,0.0095,0.029500000000000002,-0.0255
