Date,Lo20,Qnt2,Qnt3,Qnt4,Hi20,Lo10,Dec2,Dec3,Dec4,Dec5,Dec6,Dec7,Dec8,Dec9,Hi10,Spread
1965-07-01,0.025699999999999997,0.037599999999999995,0.0265,0.0282,0.029900000000000003,0.0236,0.0287,0.0426,0.0332,0.011399999999999999,0.0375,0.028999999999999998,0.0274,0.030899999999999997,0.028999999999999998,0.0053999999999999986
1965-08-01,0.0473,0.0385,0.042800000000000005,0.0416,0.0504,0.0426,0.053899999999999997,0.0483,0.029900000000000003,0.0368,0.0471,0.0363,0.047400000000000005,0.0484,0.052000000000000005,0.009400000000000006
1965-09-01,0.0342,0.0252,0.036699999999999997,0.0426,0.0408,0.0347,0.0335,0.0219,0.0282,0.0425,0.032400000000000005,0.0286,0.0579,0.0408,0.0408,0.006100000000000001
1965-10-01,0.0747,0.0541,0.042800000000000005,0.0565,0.0637,0.0799,0.0675,0.059699999999999996,0.0492,0.048,0.0391,0.0652,0.046900000000000004,0.0587,0.0677,-0.012200000000000003
1965-11-01,0.0666,0.0338,0.0331,0.0492,0.065,0.0799,0.048,0.0209,0.0452,0.019,0.0433,0.0434,0.0554,0.054900000000000004,0.0729,-0.006999999999999992
1965-12-01,0.0622,0.0333,0.0282,0.042199999999999994,0.052000000000000005,0.0676,0.0546,0.0346,0.0321,0.0362,0.022400000000000003,0.055,0.0282,0.058899999999999994,0.04650000000000001,-0.021099999999999987
1966-01-01,0.0664,0.0385,0.0409,0.0663,0.0699,0.0701,0.0611,0.0373,0.039599999999999996,0.035,0.0451,0.0739,0.0581,0.0643,0.0742,0.004100000000000006
1966-02-01,0.053200000000000004,0.0084,0.0105,0.0285,0.0472,0.06269999999999999,0.0398,0.0179,0.0,0.0063,0.013600000000000001,0.0226,0.0348,0.0404,0.0526,-0.010099999999999991
1966-03-01,-0.0052,-0.0189,-0.028399999999999998,-0.0254,-0.0042,0.0032,-0.017,-0.0181,-0.0197,-0.019,-0.0353,-0.019799999999999998,-0.0316,0.0005,-0.0078000000000000005,-0.011000000000000001
1966-04-01,0.0704,0.030899999999999997,0.0375,0.038599999999999995,0.0558,0.0779,0.06,0.0308,0.031,0.0346,0.039599999999999996,0.0358,0.0416,0.0542,0.057,-0.020899999999999995
